SRA sample ID,SRA number,Sequencing Platform,Age (years),Accuracy of birth date,Ordinal rank,Sex,Body Mass Index (kg/m2),Age-adjusted BMI,Cumulative Early Adversity Score,Dyadic Social Connectedness (F to F),Depth (millions of reads sequenced),Bisulfite conversion rate,Predicted epigenetic age (years) from n=277 model,Predicted epigenetic age (years) from n=286 model
AMB_217,PRJNA648767,HiSeq 4000,7.6085,Within < 1 week,4,M,47.89525676,1.837698158,3,NA,18.247382,0.998087884,8.144052422,7.637046966
AMB_218,PRJNA648767,HiSeq 4000,5.8891,Within < 1 week,NA,F,NA,NA,1,NA,12.916443,0.998134254,5.623282098,6.434450127
AMB_219,PRJNA648767,HiSeq 4000,5.7906,Within < 1 week,3,F,33.31141793,-2.008080122,2,1.085759237,14.857611,0.997909461,8.634101547,8.650902313
AMB_220,PRJNA648767,HiSeq 4000,6.0589,Within < 1 week,7,F,29.72449048,-5.615081028,2,0.712391224,21.792163,0.998211944,8.140910795,7.97434947
AMB_221,PRJNA648767,HiSeq 4000,13.5031,Within < 1 week,NA,F,NA,NA,1,NA,25.950988,0.998015117,11.20116816,11.23555403
AMB_222,PRJNA648767,HiSeq 4000,7.1786,Within < 1 week,15,M,40.05,-4.025008283,3,NA,16.016024,0.999284886,8.924614753,8.808661575
AMB_65,SRP058411,HiSeq 2000,9.2293,Within < 1 week,18,F,34.9750586,-0.601707415,1,-0.373031494,27.148884,0.999525632,8.569296209,8.803012483
AMB_223,PRJNA648767,HiSeq 4000,12.1752,Within < 1 week,NA,F,36.81581528,1.01865091,1,NA,20.27065,0.997984269,11.19413047,11.01257104
AMB_224,PRJNA648767,HiSeq 4000,7.8631,Within < 1 week,NA,M,50.40579111,3.313939222,1,NA,26.473281,0.998038795,8.040938588,8.101130602
AMB_225,PRJNA648767,HiSeq 4000,12.3723,Within < 1 week,2,F,37.56389414,1.751981931,NA,0.922111339,11.471754,0.998247001,10.52849776,10.9714958
AMB_226,PRJNA648767,HiSeq 4000,8.6571,Within < 1 week,4,M,47.21413222,0.215426358,2,NA,12.637189,0.998068616,6.972772022,7.151445603
AMB_227,PRJNA648767,HiSeq 4000,4.7502,Within < 1 week,16,M,32.02787323,-0.846357151,0,NA,41.223329,0.998027823,4.845825373,5.112107171
AMB_228,PRJNA648767,HiSeq 4000,6.9487,Within < 1 week,NA,F,37.37985048,1.973708842,3,NA,7.584536,0.998029298,8.007007249,8.378860003
AMB_229,PRJNA648767,HiSeq 4000,5.0541,Within < 1 week,25,F,34.35877011,0.576491246,1,-0.3188645,24.397518,0.996652066,8.258091894,8.218241205
AMB_229_B,PRJNA648767,HiSeq 4000,8.1013,Within < 1 week,NA,F,37.26497781,1.772602243,1,0.566076209,7.981049,0.997956998,7.893534693,7.505812264
AMB_230,PRJNA648767,HiSeq 4000,8.345,Within < 1 week,1,M,48.92772137,1.892399486,0,NA,8.314878,0.998015175,8.814878289,8.932509054
AMB_230_C,PRJNA648767,HiSeq 4000,10.5517,Within < 1 week,1,M,46.59771203,-0.178728148,0,NA,10.154637,0.997869733,10.02208488,10.2893616
AMB_231,PRJNA648767,HiSeq 4000,5.6345,Within < 1 week,7,M,36.29390652,-0.659073873,2,NA,10.138205,0.996552306,5.856792747,6.284459917
AMB_232,PRJNA648767,HiSeq 4000,8.1068,Within < 1 week,1,M,44.30038383,-2.762881861,0,NA,10.695149,0.997892703,8.820956363,8.714763161
AMB_233,PRJNA648767,HiSeq 4000,4.3422,Within < 1 week,19,M,30.63715175,-0.355549981,1,NA,9.128135,0.998040201,6.309005521,6.329626567
AMB_234,PRJNA648767,HiSeq 4000,5.18,Within < 1 week,NA,F,34.25252118,0.038441261,0,NA,12.392248,0.998072657,6.83805295,6.595869731
AMB_235,PRJNA648767,HiSeq 4000,6.2149,Within < 1 week,15,M,40.38312342,0.753068717,2,NA,16.681993,0.999264078,7.296457204,7.278550123
AMB_236,PRJNA648767,HiSeq 4000,5.6071,Within < 1 week,4,M,44.19882824,7.372124935,1,NA,13.578103,0.997943473,7.652320103,7.720903741
AMB_237,PRJNA648767,HiSeq 4000,9.5606,Within < 1 week,6,M,47.916322,1.023609884,0,NA,10.500001,0.998301942,9.272306183,9.315579693
AMB_238,PRJNA648767,HiSeq 4000,14.7433,Within < 1 week,NA,M,43.65554507,-2.629148352,0,NA,23.195963,0.994878338,16.87890765,16.84721136
AMB_239,PRJNA648767,HiSeq 4000,10.8063,Within < 1 week,6,M,47.64003021,0.893460999,0,NA,16.817198,0.997862463,12.32506308,12.70967697
AMB_239_B,PRJNA648767,HiSeq 4000,13.5277,Within < 1 week,10,M,51.6889465,5.261643308,0,NA,16.579289,0.998033503,16.21563805,16.2434929
AMB_240,PRJNA648767,HiSeq 4000,14.7871,Within < 1 week,16,F,33.43700727,-2.55556604,0,1.210917527,15.891007,0.998205979,13.89398481,13.59639764
AMB_241,PRJNA648767,HiSeq 4000,13.4292,Within 3 months,14,F,35.60917879,-0.281798257,1,1.545957962,10.814135,0.99823939,9.853138175,9.520329861
AMB_242,PRJNA648767,HiSeq 4000,8.8871,Within < 1 week,6,M,NA,NA,1,NA,13.468725,0.998271883,9.85380681,9.512101383
AMB_243,PRJNA648767,HiSeq 4000,18.0589,Within < 1 week,20,F,34.30198917,-1.935357406,0,0.313894439,8.05707,0.998163393,11.71892646,12.03362419
AMB_244,PRJNA648767,HiSeq 4000,19.7563,Within < 1 week,12,F,33.28,-3.084341907,NA,0.899395463,8.091342,0.998248732,10.56234337,10.50389639
AMB_244_B,PRJNA648767,HiSeq 4000,25.3196,Within < 1 week,13,F,39.61478041,2.834221542,NA,0.837451118,12.988741,0.997025717,11.8766135,11.97342067
AMB_245,PRJNA648767,HiSeq 4000,13.5907,Within 3 months,9,M,46.65085484,0.230939088,1,NA,21.672913,0.997902559,14.38713844,14.60983135
AMB_46,SRP058411,HiSeq 2000,4.0082,Within < 1 week,NA,F,31.5561644,1.359711775,1,NA,53.481823,0.996442043,4.735254927,4.49016483
AMB_46_B,PRJNA648767,HiSeq 4000,9.0842,Within < 1 week,NA,F,NA,NA,1,NA,7.526784,0.998242985,8.641867644,9.28690502
AMB_246,PRJNA648767,HiSeq 4000,5.3799,Within < 1 week,22,F,NA,NA,1,0.703496154,38.825177,0.994828484,7.408508316,7.050337275
AMB_247,PRJNA648767,HiSeq 4000,4.7995,Within < 1 week,13,F,NA,NA,0,NA,8.893876,0.998240717,10.53241879,10.53234726
AMB_248,PRJNA648767,HiSeq 4000,6.4422,Within < 1 week,NA,F,NA,NA,1,NA,26.739787,0.998029533,7.867735883,7.501088506
AMB_249,PRJNA648767,HiSeq 4000,4.3203,Within < 1 week,7,F,30.73081103,-0.535757276,0,NA,20.08549,0.998068303,5.337073426,5.788331368
AMB_250,PRJNA648767,HiSeq 4000,9.3279,Within < 1 week,2,M,47.4363299,0.51631637,1,NA,9.772969,0.998303615,10.26481715,10.7925425
AMB_251,PRJNA648767,HiSeq 4000,10.0151,Within < 1 week,26,F,34.77182494,-0.863727621,1,1.053197345,10.443649,0.998190695,11.02230762,11.18897651
AMB_252,PRJNA648767,HiSeq 4000,5.9083,Within < 1 week,NA,M,36.13216453,-2.083586769,2,NA,13.385936,0.998017468,8.242292606,8.46901514
AMB_253,PRJNA648767,HiSeq 4000,9.9274,Within < 1 week,NA,M,48.94969137,2.100019142,0,NA,8.238738,0.998321735,9.783425597,9.81834605
AMB_254,PRJNA648767,HiSeq 4000,6.6913,Within < 1 week,NA,F,NA,NA,2,NA,17.154762,0.9978246,8.474622721,8.074589677
AMB_255,PRJNA648767,HiSeq 4000,4.0411,Within < 1 week,NA,F,29.13583125,-1.17326514,1,NA,12.586407,0.998031496,4.499455226,4.446603218
